催化剂,指标,数据点数,温度范围,温度跨度,拟合成功,R²,参数a,参数b,参数c,失败原因,数据特征
A7,C4烯烃选择性,5,250-400°C,150,True,0.9977978692998591,155251.69486269355,5736.792988837531,2.4933117340040245,,"严格递增,变化188.3%"
A8,乙醇转化率,5,250-400°C,150,True,0.9976955732593956,86456.30203187437,4916.169114561687,-1.8068606533547058,,"严格递增,变化214.8%"
A8,C4烯烃选择性,5,250-400°C,150,True,0.9994062291303438,7600.5222418592975,3420.3141057403495,-5.728764271124633,,"严格递增,变化187.8%"
A9,乙醇转化率,5,250-400°C,150,True,0.9999424363743722,118255334.34944148,10044.445658006105,1.6581108070463348,,"严格递增,变化302.8%"
A9,C4烯烃选择性,5,250-400°C,150,True,0.9951630521089421,662.6607888958898,1377.1085618147495,-43.08905070998626,,"严格递增,变化175.7%"
A10,乙醇转化率,5,250-400°C,150,True,0.9995799404159962,49771060.40668795,9666.439779068596,-0.2565239839938021,,"严格递增,变化347.9%"
A10,C4烯烃选择性,5,250-400°C,150,True,0.9966457591226985,53869712987.147575,15203.962878447295,1.9300651132881945,,"主要递增,变化220.4%"
A11,乙醇转化率,5,250-400°C,150,True,0.9999878227833893,885539701.5667343,11521.349181746022,-0.0654740282814542,,"严格递增,变化375.0%"
A11,C4烯烃选择性,5,250-400°C,150,True,0.9996516461426311,2923.7190089151118,3847.3537604905064,-1.712630435047514,,"严格递增,变化257.6%"
A12,乙醇转化率,5,250-400°C,150,True,0.9999563762968349,653902.8367853555,6433.27713844782,-1.674809006708135,,"严格递增,变化282.5%"
A12,C4烯烃选择性,5,250-400°C,150,True,0.9985095618205347,23850.69778141311,4365.678833846768,0.07217350819751592,,"严格递增,变化179.2%"
A13,乙醇转化率,5,250-400°C,150,True,0.9998110262175871,14067956.858268088,8597.214241354779,0.121516833520861,,"严格递增,变化310.1%"
A13,C4烯烃选择性,5,250-400°C,150,True,0.9806552396340403,338.9003758061876,267.3078249325129,-199.1198268569659,,"严格递增,变化147.7%"
A14,乙醇转化率,5,250-400°C,150,True,0.9996053788833259,790824.5863088856,6454.018404364702,-0.6904835556171764,,"严格递增,变化267.3%"
A14,C4烯烃选择性,5,250-400°C,150,True,0.9974591503011926,338508.86341133626,6481.545996022343,0.11447072356120858,,"严格递增,变化247.8%"
B1,乙醇转化率,5,250-400°C,150,True,0.9999780520344653,735037.1405598603,6528.939862039703,-1.4738861584344896,,"严格递增,变化283.3%"
B1,C4烯烃选择性,5,250-400°C,150,True,0.9963046289439014,14457.39507148357,3895.633847481898,-2.9476070644229297,,"严格递增,变化185.1%"
B2,乙醇转化率,5,250-400°C,150,True,0.9998052187933736,48049217.20011189,9377.826047941207,2.3161228799923004,,"严格递增,变化283.6%"
B2,C4烯烃选择性,5,250-400°C,150,True,0.996788242227853,18199.667130242335,4047.9011370126273,-5.53647405781788,,"严格递增,变化223.9%"
B3,乙醇转化率,6,250-400°C,150,True,0.9994845127034435,120977615.66784976,10476.614518541037,0.03563670599700891,,"严格递增,变化381.6%"
B3,C4烯烃选择性,6,250-400°C,150,True,0.9766640422707078,10580.809715784506,4162.780058146245,-0.5048061485984082,,"严格递增,变化188.1%"
B4,乙醇转化率,6,250-400°C,150,True,0.9986365980536048,106885902.7601273,10088.280511895873,0.29112906088627705,,"严格递增,变化367.0%"
B4,C4烯烃选择性,6,250-400°C,150,True,0.9550708672629682,1952429.0920917855,7855.919341528506,5.026739184977028,,"主要递增,变化160.9%"
B5,乙醇转化率,6,250-400°C,150,True,0.9996803240304104,34155942.67996578,9139.949226823464,1.6195489809940458,,"严格递增,变化312.1%"
B5,C4烯烃选择性,6,250-400°C,150,True,0.9974185841205663,17758.833924089897,4390.642489053602,-0.20679550461638785,,"严格递增,变化184.2%"
B6,乙醇转化率,6,250-400°C,150,True,0.9965478917615649,3263883.7449823585,7321.5394082739285,1.4467111987279675,,"严格递增,变化281.2%"
B6,C4烯烃选择性,6,250-400°C,150,True,0.9714336847053396,1435.7647477611426,2324.8808066370257,-14.108536249446828,,"严格递增,变化179.2%"
B7,乙醇转化率,6,250-400°C,150,True,0.9994462553132591,4452925.376941636,7469.283220723632,1.8934665176257,,"严格递增,变化275.8%"
B7,C4烯烃选择性,6,250-400°C,150,True,0.997218651044082,2336.595827553486,2550.072817274803,-14.504555171382966,,"严格递增,变化194.4%"
